Headline,Excerpt,Author,Date_Posted
Windows 11 version 22H2: Everything that’s new in the upcoming update,"
                It’s been about a year since Windows 11 was first introduced to the public with a full release happening on October 5th 2021. One year later while Windows 11 has...                ","
João Carrasqueira ","

                                        06-16 11:00                                     
"
Can the MacBook Air (2022) run Windows? Yes  but it takes some work,"
                Apple recently introduced the second generation of Apple Silicon starting with the Apple M2 chip. This new processor is debuting inside the all-new MacBook Air and it delivers some big...                ","
João Carrasqueira ","

                                        06-16 10:00                                     
"
Microsoft launches Defender for individuals as part of Microsoft 365,"
                Microsoft has introduced Microsoft Defender for individuals a new app to help users stay on top of their security across different devices. Microsoft Defender is part of the Microsoft 365...                ","
João Carrasqueira ","

                                        06-16 10:00                                     
"
Genshin Impact is officially launching on GeForce Now on June 23,"
                After adding Mass Effect Legendary Edition to its ever-growing portfolio of games earlier this month Nvidia is now gearing up to bring the popular RPG Genshin Impact to GeForce Now....                ","
Pranob Mehrotra ","

                                        06-16 9:34                                     
"
MacBook Air M2 vs MacBook Air M1: What’s different in the new model?,"
                During its WWDC 2022 keynote on June 6th Apple introduced a new version of the MacBook Air powered by the brand-new Apple M2 chip. In addition to the new processor...                ","
João Carrasqueira ","

                                        06-16 9:00                                     
"
The Samsung Galaxy S22 FE might not see the light of day,"
                If recent reports are to be believed Samsung might shelve its next Fan Edition device — the Galaxy S22 FE. Sources familiar with Samsung’s plans claim that the company will...                ","
Pranob Mehrotra ","

                                        06-16 8:51                                     
"
OnePlus 10 Pro receives another Android 13 beta release with fixes for common issues,"
                OnePlus rolled out the first Android 13 beta update for the OnePlus 10 Pro last month to give early adopters a chance to experience the upcoming software release ahead of...                ","
Pranob Mehrotra ","

                                        06-16 7:48                                     
"
Hype Alert: Nothing will auction off the first 100 units of the Phone 1,"
                Nothing’s hype train has left the station as the company gears up to launch its first smartphone — the Nothing Phone 1. We recently got our first look at the...                ","
Pranob Mehrotra ","

                                        06-16 7:04                                     
"
OnePlus rolls out May 2022 security patches for the OnePlus 7 & OnePlus 7T series,"
                Over the last few months OnePlus has been rolling out bi-monthly security updates for its OnePlus 7 and OnePlus 7T series devices. The previous software update for the devices featured...                ","
Pranob Mehrotra ","

                                        06-16 6:03                                     
"
The new Samsung Wallet is a one-stop solution that lets you store IDs  cards  keys  and more,"
                At its I/O developer conference this year Google finally showcased the new and improved Google Wallet. The revamped wallet app combines the old Google Wallet app with Google Pay to...                ","
Pranob Mehrotra ","

                                        06-16 4:09                                     
"
Nothing Phone 1 shows off its party trick  an illuminating rear panel,"
                Nothing has been trickle feeding its audience information for the past few months giving up very little about its smartphone in the process. But that all changed yesterday when Nothing...                ","
Timi Cantisano ","

                                        06-16 3:20                                     
"
Samsung Galaxy Z Fold 4: Everything we know so far about Samsung’s next flagship foldable,"
                Samsung was one of the first manufacturers to enter the foldable space in 2019 with the original Galaxy Fold. It wasn’t the most flamboyant entry with plenty of catastrophic display...                ","
Karthik Iyer ","

                                        06-16 12:30                                     
"
Samsung Galaxy Z Flip 4: Everything we know so far about Samsung’s next clamshell foldable,"
                For many the Samsung Galaxy Z Flip 3 was the first foldable they could put their money on. In fact XDA’s Content Chief Nirave was so impressed with the Galaxy...                ","
Karthik Iyer ","

                                        06-16 12:30                                     
"
Is the Apple MacBook Air M2 (2022) good for gaming?,"
                Apple launched the MacBook Air (2022) during WWDC22. The reveal came along with that of macOS Ventura — which further unleashes the Mac lineup and its potential. Considering that this...                ","
Mahmoud Itani ","

                                        06-16 12:10                                     
"
Download: MIUI Closed Beta for Xiaomi and Redmi devices [Update: June 15 PRE builds],"
                The latest version of Xiaomi’s custom Android skin – MIUI 13 – is finally here. The latest iteration of MIUI has been unveiled at the Xiaomi 12 launch event in...                ","
Aamir Siddiqui ","

                                        06-16 12:02                                     
"
These are the best Samsung Galaxy S22 thin cases to buy in 2022,"
                The Galaxy S22 is officially here and just like the last year Samsung is giving us three options to choose from. For those who prefer smaller more pocketable phones the...                ","
Kishan Vyas ","

                                        06-16 12:01                                     
"
Samsung Galaxy A53 5G vs OnePlus Nord N200: Which one’s better?,"
                Samsung’s Galaxy A-series phones have gained a lot of popularity over the years in the budget space. The Galaxy A53 5G is one of our top picks in the mid-tier...                ","
Karthik Iyer ","

                                        06-16 12:01                                     
"
Can the MacBook Pro 13 (2022) run Linux?,"
                Alongside the all-new MacBook Air Apple debuted a refresh to the MacBook Pro 13 at WWDC. Unlike the MacBook Air the newest MacBook Pro 13 doesn’t get an updated design...                ","
Richard Devine ","

                                        06-16 12:01                                     
"
